,Order Date,Year,Quarter,Ship Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
6083,22-11-2016,2016,4,27-11-2016,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Art,23.616,9,0.2,2.6568
6084,22-11-2016,2016,4,27-11-2016,Standard Class,Consumer,Houston,Texas,Central,Technology,Accessories,24.032,2,0.2,-0.6008
6086,22-11-2016,2016,4,27-11-2016,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,4.488,6,0.8,-6.732
2918,23-11-2016,2016,4,23-11-2016,Same Day,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,15.8,5,0.2,2.37
2919,23-11-2016,2016,4,23-11-2016,Same Day,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,14.368,2,0.2,3.9512
2920,23-11-2016,2016,4,23-11-2016,Same Day,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,70.448,7,0.2,12.3284
3890,24-11-2016,2016,4,30-11-2016,Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,659.9,2,0,217.767
1665,24-11-2016,2016,4,26-11-2016,Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Fasteners,4.344,3,0.2,0.8688
3892,24-11-2016,2016,4,30-11-2016,Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,559.92,8,0,190.3728
1664,24-11-2016,2016,4,26-11-2016,Second Class,Consumer,Dallas,Texas,Central,Technology,Accessories,297.576,3,0.2,-7.4394
1893,24-11-2016,2016,4,29-11-2016,Standard Class,Consumer,Medford,Oregon,West,Office Supplies,Paper,24.784,1,0.2,7.745
8372,24-11-2016,2016,4,01-12-2016,Standard Class,Home Office,Seattle,Washington,West,Furniture,Furnishings,82.26,3,0,33.7266
1668,24-11-2016,2016,4,26-11-2016,Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Art,14.04,3,0.2,1.5795
9770,24-11-2016,2016,4,30-11-2016,Standard Class,Home Office,Hialeah,Florida,South,Office Supplies,Paper,10.528,4,0.2,3.4216
3524,24-11-2016,2016,4,28-11-2016,Standard Class,Consumer,Dallas,Texas,Central,Technology,Phones,657.552,6,0.2,49.3164
5701,24-11-2016,2016,4,26-11-2016,First Class,Home Office,Cleveland,Ohio,East,Technology,Accessories,139.96,5,0.2,-22.7435
1397,24-11-2016,2016,4,26-11-2016,First Class,Consumer,New York City,New York,East,Office Supplies,Paper,11.56,2,0,5.6644
1667,24-11-2016,2016,4,26-11-2016,Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Paper,74.352,3,0.2,23.235
5700,24-11-2016,2016,4,26-11-2016,First Class,Home Office,Cleveland,Ohio,East,Office Supplies,Envelopes,40.752,3,0.2,15.282
1666,24-11-2016,2016,4,26-11-2016,Second Class,Consumer,Dallas,Texas,Central,Technology,Accessories,94.992,2,0.2,-2.3748
9771,24-11-2016,2016,4,30-11-2016,Standard Class,Home Office,Hialeah,Florida,South,Office Supplies,Appliances,42.384,2,0.2,4.2384
9769,24-11-2016,2016,4,30-11-2016,Standard Class,Home Office,Hialeah,Florida,South,Furniture,Bookcases,339.92,5,0.2,8.498
3891,24-11-2016,2016,4,30-11-2016,Standard Class,Corporate,Los Angeles,California,West,Furniture,Chairs,1684.752,6,0.2,210.594
1396,24-11-2016,2016,4,26-11-2016,First Class,Consumer,New York City,New York,East,Office Supplies,Binders,17.216,4,0.2,6.0256
1663,24-11-2016,2016,4,26-11-2016,Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Storage,41.92,5,0.2,3.668
1398,24-11-2016,2016,4,26-11-2016,First Class,Consumer,New York City,New York,East,Technology,Accessories,88.4,4,0,11.492
1399,24-11-2016,2016,4,26-11-2016,First Class,Consumer,New York City,New York,East,Office Supplies,Paper,6.48,1,0,3.1104
4271,24-11-2016,2016,4,27-11-2016,Second Class,Corporate,Baltimore,Maryland,East,Furniture,Furnishings,207.76,4,0,85.1816
1502,24-11-2016,2016,4,01-12-2016,Standard Class,Home Office,Los Angeles,California,West,Technology,Phones,33.52,2,0.2,3.352
6243,24-11-2016,2016,4,28-11-2016,Standard Class,Home Office,Bellevue,Washington,West,Office Supplies,Supplies,25.35,3,0,7.605
1503,24-11-2016,2016,4,01-12-2016,Standard Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,9.94,2,0,3.0814
4115,24-11-2016,2016,4,27-11-2016,First Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,1219.96,5,0.2,381.2375
1059,24-11-2016,2016,4,01-12-2016,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,4.416,3,0.2,1.6008
8646,25-11-2016,2016,4,29-11-2016,Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,194.352,3,0.2,19.4352
6573,25-11-2016,2016,4,30-11-2016,Standard Class,Corporate,Plainfield,New Jersey,East,Office Supplies,Storage,563.4,4,0,67.608
6977,25-11-2016,2016,4,28-11-2016,First Class,Consumer,Jonesboro,Arkansas,South,Technology,Phones,59.98,2,0,17.994
3463,25-11-2016,2016,4,30-11-2016,Standard Class,Home Office,Jacksonville,Florida,South,Office Supplies,Paper,5.08,1,0.2,1.651
6574,25-11-2016,2016,4,30-11-2016,Standard Class,Corporate,Plainfield,New Jersey,East,Technology,Machines,319.92,8,0,118.3704
7686,25-11-2016,2016,4,29-11-2016,Standard Class,Corporate,Jackson,Michigan,Central,Furniture,Tables,1568.61,9,0,329.4081
7771,25-11-2016,2016,4,02-12-2016,Standard Class,Consumer,Lancaster,Ohio,East,Office Supplies,Binders,456.588,2,0.7,-304.392
8342,25-11-2016,2016,4,30-11-2016,Standard Class,Consumer,Huntsville,Alabama,South,Office Supplies,Storage,73.36,7,0,19.8072
7687,25-11-2016,2016,4,29-11-2016,Standard Class,Corporate,Jackson,Michigan,Central,Office Supplies,Binders,17.3,1,0,8.304
7773,25-11-2016,2016,4,02-12-2016,Standard Class,Consumer,Lancaster,Ohio,East,Technology,Accessories,59.976,3,0.2,11.9952
7772,25-11-2016,2016,4,02-12-2016,Standard Class,Consumer,Lancaster,Ohio,East,Technology,Machines,4499.985,5,0.7,-6599.978
7688,25-11-2016,2016,4,29-11-2016,Standard Class,Corporate,Jackson,Michigan,Central,Technology,Accessories,160,8,0,62.4
9652,26-11-2016,2016,4,30-11-2016,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,595.38,6,0,297.69
9650,26-11-2016,2016,4,30-11-2016,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,37.17,9,0,10.4076
9123,26-11-2016,2016,4,28-11-2016,Second Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,78.759,9,0.7,-57.7566
8383,26-11-2016,2016,4,28-11-2016,First Class,Home Office,Shelton,Connecticut,East,Technology,Accessories,59.97,3,0,14.9925
9649,26-11-2016,2016,4,30-11-2016,Standard Class,Consumer,Los Angeles,California,West,Furniture,Bookcases,3406.664,8,0.15,160.3136
2072,26-11-2016,2016,4,02-12-2016,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,7.312,2,0.2,2.5592
1451,26-11-2016,2016,4,29-11-2016,First Class,Corporate,Mobile,Alabama,South,Office Supplies,Paper,70.98,7,0,34.7802
8384,26-11-2016,2016,4,28-11-2016,First Class,Home Office,Shelton,Connecticut,East,Office Supplies,Paper,13.36,2,0,6.4128
5923,26-11-2016,2016,4,30-11-2016,Second Class,Corporate,New York City,New York,East,Furniture,Tables,313.176,2,0.4,-120.0508
1453,26-11-2016,2016,4,29-11-2016,First Class,Corporate,Mobile,Alabama,South,Office Supplies,Binders,33.75,5,0,16.875
7728,26-11-2016,2016,4,02-12-2016,Standard Class,Consumer,El Paso,Texas,Central,Office Supplies,Art,17.856,4,0.2,4.2408
1454,26-11-2016,2016,4,29-11-2016,First Class,Corporate,Mobile,Alabama,South,Technology,Machines,3040,8,0,1459.2
5273,26-11-2016,2016,4,29-11-2016,First Class,Home Office,Miami,Florida,South,Office Supplies,Binders,3.744,4,0.7,-2.6208
2241,26-11-2016,2016,4,01-12-2016,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,494.982,3,0.4,-115.4958
9651,26-11-2016,2016,4,30-11-2016,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,64.96,2,0,19.488
1452,26-11-2016,2016,4,29-11-2016,First Class,Corporate,Mobile,Alabama,South,Office Supplies,Binders,91.68,3,0,45.84
3476,27-11-2016,2016,4,30-11-2016,First Class,Corporate,Overland Park,Kansas,Central,Office Supplies,Binders,152,5,0,69.92
3475,27-11-2016,2016,4,30-11-2016,First Class,Corporate,Overland Park,Kansas,Central,Technology,Accessories,34.95,5,0,15.378
7200,27-11-2016,2016,4,03-12-2016,Standard Class,Consumer,Fort Lauderdale,Florida,South,Technology,Phones,116.76,1,0.2,14.595
9814,27-11-2016,2016,4,30-11-2016,First Class,Consumer,East Orange,New Jersey,East,Office Supplies,Binders,79.95,5,0,38.376
5901,27-11-2016,2016,4,02-12-2016,Standard Class,Corporate,Westfield,New Jersey,East,Furniture,Furnishings,31.56,3,0,10.4148
7201,27-11-2016,2016,4,03-12-2016,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,331.023,7,0.45,-114.3534
2211,27-11-2016,2016,4,30-11-2016,First Class,Corporate,Lincoln Park,Michigan,Central,Office Supplies,Appliances,167.292,6,0.1,29.7408
8622,27-11-2016,2016,4,01-12-2016,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,39.808,4,0.2,3.9808
1772,27-11-2016,2016,4,29-11-2016,Second Class,Corporate,Chicago,Illinois,Central,Technology,Accessories,62.4,6,0.2,19.5
1931,27-11-2016,2016,4,29-11-2016,Second Class,Consumer,Scottsdale,Arizona,West,Technology,Phones,271.992,1,0.2,23.7993
9813,27-11-2016,2016,4,30-11-2016,First Class,Consumer,East Orange,New Jersey,East,Office Supplies,Paper,204.95,5,0,100.4255
9812,27-11-2016,2016,4,30-11-2016,First Class,Consumer,East Orange,New Jersey,East,Office Supplies,Art,34.65,3,0,9.702
9811,27-11-2016,2016,4,30-11-2016,First Class,Consumer,East Orange,New Jersey,East,Office Supplies,Paper,25.92,4,0,12.4416
1771,27-11-2016,2016,4,29-11-2016,Second Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,97.984,2,0.2,-24.496
4886,28-11-2016,2016,4,01-12-2016,Second Class,Corporate,Marietta,Georgia,South,Furniture,Chairs,182.67,3,0,52.9743
4887,28-11-2016,2016,4,01-12-2016,Second Class,Corporate,Marietta,Georgia,South,Technology,Accessories,101.7,6,0,6.102
7367,28-11-2016,2016,4,04-12-2016,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Chairs,347.802,7,0.3,-24.843
4888,28-11-2016,2016,4,01-12-2016,Second Class,Corporate,Marietta,Georgia,South,Office Supplies,Storage,1126.02,3,0,56.301
7364,28-11-2016,2016,4,04-12-2016,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,12.672,8,0.2,2.6928
7363,28-11-2016,2016,4,04-12-2016,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Phones,340.182,3,0.4,-73.7061
4889,28-11-2016,2016,4,01-12-2016,Second Class,Corporate,Marietta,Georgia,South,Office Supplies,Storage,1263.3,6,0,315.825
185,28-11-2016,2016,4,02-12-2016,Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,2,0,3.4368
7366,28-11-2016,2016,4,04-12-2016,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Storage,32.544,2,0.2,-7.7292
2849,28-11-2016,2016,4,03-12-2016,Standard Class,Corporate,Palm Coast,Florida,South,Office Supplies,Binders,7.434,6,0.7,-5.6994
7365,28-11-2016,2016,4,04-12-2016,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.888,2,0.7,-5.0512
7878,29-11-2016,2016,4,04-12-2016,Second Class,Home Office,Aurora,Illinois,Central,Furniture,Furnishings,242.176,4,0.6,-302.72
3611,29-11-2016,2016,4,01-12-2016,Second Class,Corporate,Dallas,Texas,Central,Technology,Accessories,58.416,2,0.2,16.7946
8533,30-11-2016,2016,4,06-12-2016,Standard Class,Consumer,Detroit,Michigan,Central,Furniture,Chairs,389.97,3,0,35.0973
8532,30-11-2016,2016,4,06-12-2016,Standard Class,Consumer,Detroit,Michigan,Central,Office Supplies,Storage,496.86,7,0,24.843
3486,30-11-2016,2016,4,30-11-2016,Same Day,Consumer,Hickory,North Carolina,South,Technology,Phones,36.192,1,0.2,2.7144
8531,30-11-2016,2016,4,06-12-2016,Standard Class,Consumer,Detroit,Michigan,Central,Office Supplies,Paper,13.76,2,0,6.3296
8530,30-11-2016,2016,4,06-12-2016,Standard Class,Consumer,Detroit,Michigan,Central,Office Supplies,Paper,33.36,4,0,16.68
9172,01-12-2016,2016,4,01-12-2016,Same Day,Home Office,Oxnard,California,West,Office Supplies,Storage,1112.94,3,0,222.588
102,01-12-2016,2016,4,04-12-2016,Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,0,11.7208
9173,01-12-2016,2016,4,01-12-2016,Same Day,Home Office,Oxnard,California,West,Office Supplies,Envelopes,22.92,3,0,11.2308
9204,01-12-2016,2016,4,05-12-2016,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,23.04,8,0,6.912
3470,01-12-2016,2016,4,05-12-2016,Standard Class,Consumer,San Francisco,California,West,Furniture,Furnishings,16.74,2,0,4.3524
2054,01-12-2016,2016,4,07-12-2016,Standard Class,Consumer,Richmond,Indiana,Central,Furniture,Furnishings,17.31,3,0,5.193
4249,01-12-2016,2016,4,05-12-2016,Second Class,Consumer,Fairfield,Connecticut,East,Furniture,Chairs,751.92,4,0,150.384
9171,01-12-2016,2016,4,01-12-2016,Same Day,Home Office,Oxnard,California,West,Office Supplies,Paper,47.9,1,0,22.992
1178,01-12-2016,2016,4,05-12-2016,Standard Class,Consumer,Rockville,Maryland,East,Technology,Phones,179.97,3,0,44.9925
8394,01-12-2016,2016,4,06-12-2016,Second Class,Consumer,Franklin,Massachusetts,East,Office Supplies,Appliances,901.95,3,0,297.6435
2196,01-12-2016,2016,4,06-12-2016,Standard Class,Consumer,Knoxville,Tennessee,South,Office Supplies,Art,4.704,2,0.2,0.4116
8111,01-12-2016,2016,4,03-12-2016,Second Class,Consumer,San Angelo,Texas,Central,Furniture,Chairs,248.43,5,0.3,-17.745
9170,01-12-2016,2016,4,01-12-2016,Same Day,Home Office,Oxnard,California,West,Furniture,Furnishings,31.96,2,0,1.598
8112,01-12-2016,2016,4,03-12-2016,Second Class,Consumer,San Angelo,Texas,Central,Office Supplies,Appliances,11.648,4,0.8,-30.8672
4682,01-12-2016,2016,4,01-12-2016,Same Day,Consumer,Raleigh,North Carolina,South,Technology,Phones,863.928,9,0.2,86.3928
1177,01-12-2016,2016,4,05-12-2016,Standard Class,Consumer,Rockville,Maryland,East,Furniture,Chairs,172.5,2,0,51.75
8395,01-12-2016,2016,4,06-12-2016,Second Class,Consumer,Franklin,Massachusetts,East,Furniture,Tables,366.009,3,0.3,-47.0583
8680,01-12-2016,2016,4,03-12-2016,Second Class,Corporate,Richmond,Virginia,South,Office Supplies,Appliances,2104.55,7,0,694.5015
8681,01-12-2016,2016,4,03-12-2016,Second Class,Corporate,Richmond,Virginia,South,Office Supplies,Supplies,40.7,5,0,11.803
4248,01-12-2016,2016,4,05-12-2016,Second Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,88.08,6,0,40.5168
8393,01-12-2016,2016,4,06-12-2016,Second Class,Consumer,Franklin,Massachusetts,East,Furniture,Furnishings,111.15,5,0,48.906
8392,01-12-2016,2016,4,06-12-2016,Second Class,Consumer,Franklin,Massachusetts,East,Technology,Phones,137.94,3,0,35.8644
8113,01-12-2016,2016,4,03-12-2016,Second Class,Consumer,San Angelo,Texas,Central,Furniture,Chairs,85.246,2,0.3,-1.2178
9250,02-12-2016,2016,4,06-12-2016,Standard Class,Corporate,Marion,Iowa,Central,Office Supplies,Binders,115.84,8,0,54.4448
9485,02-12-2016,2016,4,04-12-2016,Second Class,Corporate,Houston,Texas,Central,Office Supplies,Paper,30.816,9,0.2,9.63
9484,02-12-2016,2016,4,04-12-2016,Second Class,Corporate,Houston,Texas,Central,Furniture,Bookcases,781.864,10,0.32,-137.976
6469,02-12-2016,2016,4,08-12-2016,Standard Class,Home Office,Providence,Rhode Island,East,Furniture,Furnishings,72.42,6,0,23.8986
1479,02-12-2016,2016,4,08-12-2016,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,25.92,4,0,12.4416
1480,02-12-2016,2016,4,08-12-2016,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,40.46,7,0,19.8254
6467,02-12-2016,2016,4,08-12-2016,Standard Class,Home Office,Providence,Rhode Island,East,Office Supplies,Storage,2079.4,5,0,582.232
6468,02-12-2016,2016,4,08-12-2016,Standard Class,Home Office,Providence,Rhode Island,East,Technology,Phones,629.95,5,0,176.386
1481,02-12-2016,2016,4,08-12-2016,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,33.87,3,0,8.8062
8495,02-12-2016,2016,4,08-12-2016,Standard Class,Corporate,Longmont,Colorado,West,Technology,Accessories,165.6,3,0.2,-6.21
6697,02-12-2016,2016,4,07-12-2016,Standard Class,Consumer,New York City,New York,East,Office Supplies,Paper,54.96,1,0,26.9304
5907,02-12-2016,2016,4,07-12-2016,Standard Class,Corporate,San Jose,California,West,Office Supplies,Binders,24.704,2,0.2,9.264
5908,02-12-2016,2016,4,07-12-2016,Standard Class,Corporate,San Jose,California,West,Office Supplies,Appliances,59.7,3,0,26.865
6696,02-12-2016,2016,4,07-12-2016,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,35.232,3,0.2,11.4504
5909,02-12-2016,2016,4,07-12-2016,Standard Class,Corporate,San Jose,California,West,Furniture,Furnishings,14.52,3,0,5.6628
6695,02-12-2016,2016,4,07-12-2016,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,415.176,3,0.2,134.9322
5910,02-12-2016,2016,4,07-12-2016,Standard Class,Corporate,San Jose,California,West,Office Supplies,Binders,104.184,3,0.2,33.8598
4198,03-12-2016,2016,4,08-12-2016,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,18.192,4,0.7,-14.5536
4197,03-12-2016,2016,4,08-12-2016,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Appliances,394.816,4,0.2,93.7688
5425,03-12-2016,2016,4,06-12-2016,First Class,Consumer,Los Angeles,California,West,Technology,Accessories,1649.95,5,0,659.98
5426,03-12-2016,2016,4,06-12-2016,First Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,111.9,6,0,51.474
727,03-12-2016,2016,4,06-12-2016,First Class,Consumer,Oceanside,New York,East,Office Supplies,Paper,182.72,8,0,84.0512
728,03-12-2016,2016,4,06-12-2016,First Class,Consumer,Oceanside,New York,East,Furniture,Tables,400.032,2,0.4,-153.3456
729,03-12-2016,2016,4,06-12-2016,First Class,Consumer,Oceanside,New York,East,Office Supplies,Storage,33.63,3,0,10.089
730,03-12-2016,2016,4,06-12-2016,First Class,Consumer,Oceanside,New York,East,Furniture,Chairs,542.646,3,0.1,102.4998
731,03-12-2016,2016,4,06-12-2016,First Class,Consumer,Oceanside,New York,East,Office Supplies,Labels,6.3,2,0,3.024
5829,03-12-2016,2016,4,07-12-2016,Standard Class,Consumer,Richmond,Indiana,Central,Furniture,Tables,581.96,2,0,104.7528
5830,03-12-2016,2016,4,07-12-2016,Standard Class,Consumer,Richmond,Indiana,Central,Furniture,Chairs,29.98,1,0,8.0946
7909,03-12-2016,2016,4,07-12-2016,Standard Class,Consumer,Morgan Hill,California,West,Office Supplies,Art,21.92,8,0,5.9184
7908,03-12-2016,2016,4,07-12-2016,Standard Class,Consumer,Morgan Hill,California,West,Furniture,Tables,268.704,3,0.2,6.7176
7911,03-12-2016,2016,4,07-12-2016,Standard Class,Consumer,Morgan Hill,California,West,Furniture,Bookcases,205.666,2,0.15,-12.098
6159,03-12-2016,2016,4,09-12-2016,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,772.68,4,0,108.1752
7910,03-12-2016,2016,4,07-12-2016,Standard Class,Consumer,Morgan Hill,California,West,Office Supplies,Storage,48.72,3,0,7.308
1226,04-12-2016,2016,4,05-12-2016,First Class,Consumer,New York City,New York,East,Office Supplies,Storage,182.94,3,0,3.6588
1225,04-12-2016,2016,4,05-12-2016,First Class,Consumer,New York City,New York,East,Office Supplies,Paper,40.56,4,0,19.8744
1224,04-12-2016,2016,4,05-12-2016,First Class,Consumer,New York City,New York,East,Office Supplies,Binders,1.728,1,0.2,0.6048
1223,04-12-2016,2016,4,05-12-2016,First Class,Consumer,New York City,New York,East,Technology,Accessories,78.15,1,0,34.386
1222,04-12-2016,2016,4,05-12-2016,First Class,Consumer,New York City,New York,East,Furniture,Furnishings,113.79,3,0,20.4822
1227,04-12-2016,2016,4,05-12-2016,First Class,Consumer,New York City,New York,East,Office Supplies,Storage,193.86,2,0,11.6316
5777,04-12-2016,2016,4,09-12-2016,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,104.85,1,0,50.328
1533,04-12-2016,2016,4,08-12-2016,Standard Class,Corporate,New York City,New York,East,Office Supplies,Storage,212.88,6,0,0
5776,04-12-2016,2016,4,08-12-2016,Standard Class,Consumer,Auburn,New York,East,Office Supplies,Binders,15.528,3,0.2,5.823
4184,05-12-2016,2016,4,07-12-2016,First Class,Corporate,Franklin,Massachusetts,East,Furniture,Bookcases,81.94,1,0,20.485
149,05-12-2016,2016,4,09-12-2016,Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,0,585.552
8775,05-12-2016,2016,4,09-12-2016,Second Class,Home Office,Chicago,Illinois,Central,Office Supplies,Art,3.536,2,0.2,0.3094
9966,05-12-2016,2016,4,10-12-2016,Second Class,Corporate,Newark,Delaware,East,Office Supplies,Envelopes,109.69,7,0,51.5543
150,05-12-2016,2016,4,09-12-2016,Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,0,80.6285
6871,05-12-2016,2016,4,08-12-2016,Second Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,11.952,3,0.2,3.8844
9964,05-12-2016,2016,4,10-12-2016,Second Class,Corporate,Newark,Delaware,East,Furniture,Furnishings,13.4,1,0,6.432
9965,05-12-2016,2016,4,10-12-2016,Second Class,Corporate,Newark,Delaware,East,Office Supplies,Paper,4.98,1,0,2.3406
5060,05-12-2016,2016,4,07-12-2016,Second Class,Consumer,Georgetown,Kentucky,South,Office Supplies,Storage,584.82,9,0,70.1784
5059,05-12-2016,2016,4,07-12-2016,Second Class,Consumer,Georgetown,Kentucky,South,Technology,Phones,699.98,2,0,195.9944
147,05-12-2016,2016,4,09-12-2016,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,0,103.8015
148,05-12-2016,2016,4,09-12-2016,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,0,5.9988
4596,05-12-2016,2016,4,10-12-2016,Second Class,Home Office,Washington,District of Columbia,East,Office Supplies,Art,33.92,8,0,13.2288
13,05-12-2016,2016,4,10-12-2016,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922
3592,05-12-2016,2016,4,07-12-2016,Second Class,Consumer,New York City,New York,East,Office Supplies,Storage,465.18,3,0,120.9468
3008,05-12-2016,2016,4,06-12-2016,First Class,Consumer,Murray,Kentucky,South,Furniture,Furnishings,191.82,3,0,74.8098
9974,06-12-2016,2016,4,10-12-2016,Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Art,18.69,7,0,5.2332
9973,06-12-2016,2016,4,10-12-2016,Standard Class,Home Office,Los Angeles,California,West,Technology,Phones,271.96,5,0.2,27.196
2939,06-12-2016,2016,4,12-12-2016,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,59.808,3,0.2,19.4376
2938,06-12-2016,2016,4,12-12-2016,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Paper,189.7,5,0,89.159
9975,06-12-2016,2016,4,10-12-2016,Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,13.36,2,0,6.4128
2933,06-12-2016,2016,4,12-12-2016,Standard Class,Consumer,Seattle,Washington,West,Technology,Phones,156.792,1,0.2,13.7193
2936,06-12-2016,2016,4,12-12-2016,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,47.208,7,0.2,15.3426
2935,06-12-2016,2016,4,12-12-2016,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Envelopes,35.89,1,0,16.1505
9976,06-12-2016,2016,4,10-12-2016,Standard Class,Home Office,Los Angeles,California,West,Technology,Phones,249.584,2,0.2,31.198
2934,06-12-2016,2016,4,12-12-2016,Standard Class,Consumer,Seattle,Washington,West,Technology,Phones,431.976,3,0.2,26.9985
9977,06-12-2016,2016,4,10-12-2016,Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Fasteners,13.86,7,0,0
9978,06-12-2016,2016,4,10-12-2016,Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Binders,13.376,4,0.2,4.6816
8570,06-12-2016,2016,4,12-12-2016,Standard Class,Corporate,Hempstead,New York,East,Technology,Copiers,479.984,2,0.2,89.997
8569,06-12-2016,2016,4,12-12-2016,Standard Class,Corporate,Hempstead,New York,East,Office Supplies,Binders,222.352,13,0.2,77.8232
8568,06-12-2016,2016,4,12-12-2016,Standard Class,Corporate,Hempstead,New York,East,Office Supplies,Binders,968.744,7,0.2,314.8418
1132,06-12-2016,2016,4,07-12-2016,First Class,Corporate,Antioch,California,West,Office Supplies,Paper,19.44,3,0,9.3312
2937,06-12-2016,2016,4,12-12-2016,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Paper,248.08,7,0,116.5976
9979,06-12-2016,2016,4,10-12-2016,Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Binders,437.472,14,0.2,153.1152
5589,08-12-2016,2016,4,11-12-2016,Second Class,Consumer,San Francisco,California,West,Office Supplies,Storage,34.05,3,0,9.534
5590,08-12-2016,2016,4,11-12-2016,Second Class,Consumer,San Francisco,California,West,Office Supplies,Storage,352.38,2,0,81.0474
36,08-12-2016,2016,4,10-12-2016,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963
35,08-12-2016,2016,4,10-12-2016,First Class,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737
3479,08-12-2016,2016,4,14-12-2016,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,45.36,7,0,21.7728
3103,08-12-2016,2016,4,12-12-2016,Standard Class,Home Office,Columbus,Ohio,East,Office Supplies,Binders,12.957,7,0.7,-9.5018
5746,08-12-2016,2016,4,12-12-2016,Standard Class,Consumer,Greenville,North Carolina,South,Technology,Phones,249.584,2,0.2,31.198
9162,08-12-2016,2016,4,12-12-2016,Standard Class,Consumer,Eau Claire,Wisconsin,Central,Furniture,Chairs,680.01,3,0,176.8026
3478,08-12-2016,2016,4,14-12-2016,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,8.56,2,0,2.4824
9161,08-12-2016,2016,4,12-12-2016,Standard Class,Consumer,Eau Claire,Wisconsin,Central,Furniture,Bookcases,405.86,7,0,32.4688
3480,08-12-2016,2016,4,14-12-2016,Standard Class,Corporate,San Francisco,California,West,Furniture,Tables,1421.664,6,0.2,-195.4788
